# Energy / eV     States / e
   -7.240000      6.65548797E+03
   -7.210000      5.81989226E+03
   -7.180000      5.47776255E+03
   -7.150000      5.57776907E+03
   -7.120000      5.82145797E+03
   -7.090000      6.56993326E+03
   -7.060000      5.38418934E+03
   -7.030000      5.15214139E+03
   -7.000000      5.52754555E+03
   -6.970000      5.15231307E+03
   -6.940000      4.95509691E+03
   -6.910000      5.78229972E+03
   -6.880000      5.69787466E+03
   -6.850000      5.32405001E+03
   -6.820000      6.08580808E+03
   -6.790000      6.81458671E+03
   -6.760000      6.36647840E+03
   -6.730000      6.08732212E+03
   -6.700000      5.91723948E+03
   -6.670000      5.24578121E+03
   -6.640000      5.32212864E+03
   -6.610000      7.12933355E+03
   -6.580000      5.14492059E+03
   -6.550000      5.54968028E+03
   -6.520000      5.75669771E+03
   -6.490000      6.87552493E+03
   -6.460000      6.74413210E+03
   -6.430000      6.29345477E+03
   -6.400000      5.46318608E+03
   -6.370000      6.56950178E+03
   -6.340000      4.33343739E+03
   -6.310000      3.77141575E+03
   -6.280000      3.97043395E+03
   -6.250000      5.35977985E+03
   -6.220000      5.73324031E+03
   -6.190000      6.34455716E+03
   -6.160000      5.14774229E+03
   -6.130000      4.60844277E+03
   -6.100000      4.45134518E+03
   -6.070000      5.33117829E+03
   -6.040000      6.09260660E+03
   -6.010000      6.38618272E+03
   -5.980000      5.69791254E+03
   -5.950000      5.60964784E+03
   -5.920000      5.87019917E+03
   -5.890000      5.68083864E+03
   -5.860000      6.34966286E+03
   -5.830000      6.92981216E+03
   -5.800000      5.48483854E+03
   -5.770000      7.84983912E+03
   -5.740000      6.88508327E+03
   -5.710000      6.55666366E+03
   -5.680000      5.17828129E+03
   -5.650000      5.90534276E+03
   -5.620000      5.22263428E+03
   -5.590000      4.39908741E+03
   -5.560000      4.86939001E+03
   -5.530000      4.92775866E+03
   -5.500000      5.93000574E+03
   -5.470000      5.95825818E+03
   -5.440000      5.24543751E+03
   -5.410000      4.78879888E+03
   -5.380000      4.57467085E+03
   -5.350000      6.14165764E+03
   -5.320000      7.15991349E+03
   -5.290000      6.71284728E+03
   -5.260000      4.62879780E+03
   -5.230000      3.36925219E+03
   -5.200000      4.54834148E+03
   -5.170000      2.67287353E+03
   -5.140000      2.00054284E+03
   -5.110000      4.45904955E+03
   -5.080000      3.78677884E+03
   -5.050000      3.39725198E+03
   -5.020000      2.57915279E+03
   -4.990000      3.86588046E+03
   -4.960000      1.85184379E+03
   -4.930000      1.92316213E+03
   -4.900000      2.57190066E+03
   -4.870000      9.13311407E+02
   -4.840000      6.48239403E+02
   -4.810000      6.05630304E+02
   -4.780000      6.13627742E+02
   -4.750000      9.41981117E+02
   -4.720000      1.59560588E+03
   -4.690000      7.96062024E+02
   -4.660000      7.63757559E+02
   -4.630000      1.25860595E+03
   -4.600000      6.45704010E+02
   -4.570000      5.69022871E+02
   -4.540000      5.23893717E+02
   -4.510000      5.04666780E+02
   -4.480000      5.18827427E+02
   -4.450000      5.83047386E+02
   -4.420000      7.36506893E+02
   -4.390000      9.58546324E+02
   -4.360000      1.04208921E+03
   -4.330000      8.98087088E+02
   -4.300000      7.74128265E+02
   -4.270000      7.99450793E+02
   -4.240000      1.12305022E+03
   -4.210000      1.27397248E+03
   -4.180000      9.69224576E+02
   -4.150000      9.60443291E+02
   -4.120000      9.04590561E+02
   -4.090000      6.92814128E+02
   -4.060000      5.69776976E+02
   -4.030000      5.15004346E+02
   -4.000000      4.94568810E+02
   -3.970000      4.92246012E+02
   -3.940000      5.01885647E+02
   -3.910000      5.23324755E+02
   -3.880000      5.57413906E+02
   -3.850000      5.93696373E+02
   -3.820000      6.15600467E+02
   -3.790000      6.45378621E+02
   -3.760000      7.44236253E+02
   -3.730000      1.00371987E+03
   -3.700000      1.02462611E+03
   -3.670000      9.06904080E+02
   -3.640000      7.47996235E+02
   -3.610000      7.04478960E+02
   -3.580000      6.92329247E+02
   -3.550000      6.84249246E+02
   -3.520000      6.77396137E+02
   -3.490000      6.80661295E+02
   -3.460000      7.06316502E+02
   -3.430000      7.63110211E+02
   -3.400000      8.27193279E+02
   -3.370000      8.22857652E+02
   -3.340000      7.56339366E+02
   -3.310000      6.93309241E+02
   -3.280000      6.56857384E+02
   -3.250000      6.46685638E+02
   -3.220000      6.60981314E+02
   -3.190000      6.97731833E+02
   -3.160000      7.48466590E+02
   -3.130000      7.91247033E+02
   -3.100000      8.03976374E+02
   -3.070000      7.93056079E+02
   -3.040000      7.78763668E+02
   -3.010000      7.63353483E+02
   -2.980000      7.35258950E+02
   -2.950000      7.03899233E+02
   -2.920000      6.99722020E+02
   -2.890000      7.40352724E+02
   -2.860000      8.09910039E+02
   -2.830000      9.09897224E+02
   -2.800000      1.13167802E+03
   -2.770000      1.10589721E+03
   -2.740000      1.20334017E+03
   -2.710000      9.94206952E+02
   -2.680000      9.53622647E+02
   -2.650000      1.25075475E+03
   -2.620000      1.29169504E+03
   -2.590000      9.91107749E+02
   -2.560000      8.86326896E+02
   -2.530000      1.10736851E+03
   -2.500000      9.73467621E+02
   -2.470000      9.47059244E+02
   -2.440000      1.04163660E+03
   -2.410000      9.99873431E+02
   -2.380000      9.21748373E+02
   -2.350000      8.56496743E+02
   -2.320000      8.00201493E+02
   -2.290000      7.64775527E+02
   -2.260000      7.62839944E+02
   -2.230000      7.96355899E+02
   -2.200000      8.51312193E+02
   -2.170000      8.92122403E+02
   -2.140000      8.74821560E+02
   -2.110000      8.12776502E+02
   -2.080000      7.78684190E+02
   -2.050000      7.82920740E+02
   -2.020000      8.05073087E+02
   -1.990000      8.24015901E+02
   -1.960000      8.34977556E+02
   -1.930000      8.41052025E+02
   -1.900000      8.38229809E+02
   -1.870000      8.25229933E+02
   -1.840000      8.14260578E+02
   -1.810000      8.15558157E+02
   -1.780000      8.20004633E+02
   -1.750000      8.12717734E+02
   -1.720000      8.08324061E+02
   -1.690000      8.48373674E+02
   -1.660000      1.11427772E+03
   -1.630000      1.44874195E+03
   -1.600000      1.02513453E+03
   -1.570000      9.93127676E+02
   -1.540000      1.27329925E+03
   -1.510000      1.43732877E+03
   -1.480000      2.39003294E+03
   -1.450000      4.09103514E+03
   -1.420000      7.32826766E+03
   -1.390000      1.70335079E+03
   -1.360000      1.36599586E+03
   -1.330000      1.33762775E+03
   -1.300000      1.22590604E+03
   -1.270000      1.03248647E+03
   -1.240000      1.92825703E+03
   -1.210000      9.09929239E+02
   -1.180000      9.22450305E+02
   -1.150000      1.00678473E+03
   -1.120000      1.05921240E+03
   -1.090000      1.05491975E+03
   -1.060000      1.04056871E+03
   -1.030000      1.02648075E+03
   -1.000000      9.99863392E+02
   -0.970000      9.68282144E+02
   -0.940000      9.48749150E+02
   -0.910000      9.66039022E+02
   -0.880000      1.06100488E+03
   -0.850000      1.17955873E+03
   -0.820000      1.12376550E+03
   -0.790000      1.08218560E+03
   -0.760000      9.99138884E+02
   -0.730000      9.59150411E+02
   -0.700000      1.03894362E+03
   -0.670000      1.06108901E+03
   -0.640000      1.25907533E+03
   -0.610000      1.02482333E+03
   -0.580000      9.96570392E+02
   -0.550000      9.57888440E+02
   -0.520000      9.33880489E+02
   -0.490000      1.05296221E+03
   -0.460000      2.48596296E+03
   -0.430000      1.72803373E+03
   -0.400000      2.19572937E+03
   -0.370000      2.69464355E+03
   -0.340000      1.26449161E+03
   -0.310000      1.28199598E+03
   -0.280000      1.09294336E+03
   -0.250000      1.31142128E+03
   -0.220000      3.02961130E+03
   -0.190000      1.04772328E+03
   -0.160000      9.90230763E+02
   -0.130000      8.95110884E+02
   -0.100000      8.32939472E+02
   -0.070000      8.12452244E+02
   -0.040000      8.14163323E+02
   -0.010000      8.23454144E+02
    0.020000      8.32061589E+02
    0.050000      8.36917179E+02
    0.080000      8.41600432E+02
    0.110000      8.56667865E+02
    0.140000      8.93805764E+02
    0.170000      9.59930889E+02
    0.200000      1.06265477E+03
    0.230000      1.18742359E+03
    0.260000      1.23039190E+03
    0.290000      1.14755752E+03
    0.320000      1.03004639E+03
    0.350000      9.09664751E+02
    0.380000      8.23408503E+02
    0.410000      7.89590470E+02
    0.440000      8.74883200E+02
    0.470000      2.31937919E+03
    0.500000      3.04179399E+03
    0.530000      8.74372644E+02
    0.560000      2.55780636E+03
    0.590000      7.47101997E+02
    0.620000      7.87980215E+02
    0.650000      1.24906212E+03
    0.680000      7.45976942E+02
    0.710000      8.03950914E+02
    0.740000      7.15462938E+02
    0.770000      8.06382048E+02
    0.800000      9.88861133E+02
    0.830000      1.27895994E+03
    0.860000      1.65669102E+03
    0.890000      1.91794205E+03
    0.920000      1.43453334E+03
    0.950000      1.64584102E+03
    0.980000      2.05957791E+03
    1.010000      2.24852717E+03
    1.040000      3.25628961E+03
    1.070000      2.36524744E+03
    1.100000      3.10085034E+03
    1.130000      2.22818941E+03
    1.160000      2.41287547E+03
    1.190000      3.95858837E+03
    1.220000      4.26257573E+03
    1.250000      2.27987991E+03
    1.280000      3.92964859E+03
    1.310000      2.66515916E+03
    1.340000      2.18623055E+03
    1.370000      2.17865957E+03
    1.400000      1.76236153E+03
    1.430000      1.31843409E+03
    1.460000      1.74051479E+03
    1.490000      1.86136102E+03
    1.520000      1.50044366E+03
    1.550000      2.16221505E+03
    1.580000      1.19250074E+03
    1.610000      1.26974521E+03
    1.640000      1.80010746E+03
    1.670000      1.30535214E+03
    1.700000      1.19137235E+03
    1.730000      1.09134928E+03
    1.760000      1.04598950E+03
    1.790000      1.00630299E+03
    1.820000      9.70694216E+02
    1.850000      9.73888951E+02
    1.880000      1.04296501E+03
    1.910000      4.49615532E+03
    1.940000      1.08401305E+03
    1.970000      1.01550747E+03
    2.000000      9.84917919E+02
